Теги,Название окна,Пояснение,Текст Рус ,Текст Eng ,Рус символы
client.interface.start_level.title,Окно старта уровня,Номер уровня,Уровень %num,Level %num,12
client.interface.start_level.target,Окно старта уровня,Заголовок над условием которые должен выполнить игрок для успешного прохождения уровня,Цель,Target,4
client.interface.start_level.special_offer.discount,Окно старта уровня,Предложение по акции число скидки может меняться и может быть приз,Распродажа %num %,Sale %num OFF,17
client.interface.start_level.special_offer.present,Окно старта уровня,Предложение по акции число скидки может меняться и может быть приз,Подарок,Prize,7
client.interface.start_level.buttons.play,Окно старта уровня,Надпись на кнопке старта уровня,Играть,Play,6
level_types.moves_limit.desc,Окно старта уровня (информационная всплывашка),"Описание игрового режима ""На ходы""","Совмещайте фишки в ряды, чтобы набрать максимальное количество очков за ограниченное количество ходов.",,102
level_types.time_limit.desc,Окно старта уровня (информационная всплывашка),"Описание игрового режима ""На время""","Совмещайте фишки в ряды, чтобы набрать максимальное количество очков за ограниченное время.",,91
level_types.clearbacks.desc,Окно старта уровня (информационная всплывашка),"Описание игрового режима ""Зайчики в жидком шоколаде""","Уберите весь жидкий шоколад и освободите всех зайчиков! Совмещайте фишки над шоколадом, чтобы убрать его.",,105
level_types.get_colors.desc,Окно старта уровня (информационная всплывашка),"Описание игрового режима ""Сбор фишек""","Совмещайте фишки в ряды, чтобы набрать максимальное количество фишек определенных цветов.",,89
level_types.toys.desc,Окно старта уровня (информационная всплывашка),"Описание игрового режима ""Освобождения игрушки""",Уберите все помехи и освободите все игрушки!,,44
level_types.get_ingredients.desc,Окно старта уровня (информационная всплывашка),"Описание игрового режима ""Ингридиенты""","Доведите все ингредиенты до нижней клетки, на которой изображен мешочек. ",,73
level_types.boss_level.desc,Окно старта уровня (информационная всплывашка),"Описание игрового режима ""Битва с боссом""","Совмещайте фишки в ряды, пока повар из Корпорации не засыпал помехами все игровое поле. Следите, чтобы у Вас не кончились ходы и время!",,135
client.interface.start_level.top_title,Окно старта уровня (Канвас),Заголовок топа,Лучшие игроки,,13
client.interface.start_level.buttons.sendlives,Окно старта уровня (Канвас),Кнопка для отправки жизней всем кто в топе,Послать всем,,12
level_types.moves_limit.hint,Окно старта уровня (Канвас Хинт),"При наведении на область ""Цели""(Очки/ходы)","Наберите %num очков, чтобы пройти уровень.",,42
level_types.get_ingredients.hint,Окно старта уровня (Канвас Хинт),"При наведении на область ""Цели""(Ингридиенты)","Доведите %num_1 ингредиент(-а, -ов) до нижней клетки и наберите %num_2 очков, чтобы пройти уровень.",,99
level_types.time_limit.hint,Окно старта уровня (Канвас Хинт),"При наведении на область ""Цели""(Очки/время)","Наберите %num_1 очков за %num_2 секунд, чтобы пройти уровень.",,61
level_types.toys.hint,Окно старта уровня (Канвас Хинт),"При наведении на область ""Цели""(Осбободить игрушку)",Уберите помехи и освободите %num игруш(ку)ек!,,45
level_types.clearbacks.hint,Окно старта уровня (Канвас Хинт),"При наведении на область ""Цели""(Зайчики в жидком шоколаде)","Освободите %num шоколадных зайчиков, чтобы пройти уровень.",,58
level_types.boss_level.hint,Окно старта уровня (Канвас Хинт),"При наведении на область ""Цели""(Битва с боссом)","Соберите %num фишек данного типа, пока повар не засыпал помехами все игровое поле",,81
level_types.get_colors.hint,Окно старта уровня (Канвас Хинт),"При наведении на область ""Цели""(Сбор фишек)","Соберите указанное количество фишек и наберите %num очков минимум, чтобы пройти уровень.",,88
boosters.rainbow_cake.hints.level_start.not_available,Окно старта уровня (Канвас Хинт),При наведении на область бустера который можно купить,Купите Радужный кекс прямо сейчас!,,34
boosters.rainbow_cake.hints.level_start.available,Окно старта уровня (Канвас Хинт),При наведении на область бустера который ранее приобретен.,"У Вас есть Радужный кекс. Нажмите, чтобы использовать его сейчас.",,65
boosters.rainbow_cake.hints.level_start.in_use,Окно старта уровня (Канвас Хинт),При наведении на область бустера который активирован игроком,"Вы задействовали Радужный кекс. Нажмите, если хотите отменить.",,62
boosters.striped_cake_on_plate.hints.level_start.not_available,Окно старта уровня (Канвас Хинт),При наведении на область бустера который можно купить,Купите Два в одном: полосатый тортик и сладкую бомбу!,,53
boosters.striped_cake_on_plate.hints.level_start.available,Окно старта уровня (Канвас Хинт),При наведении на область бустера который ранее приобретен.,"У Вас есть Два в одном. Нажмите, чтобы использовать сейчас.",,59
boosters.striped_cake_on_plate.hints.level_start.in_use,Окно старта уровня (Канвас Хинт),При наведении на область бустера который активирован игроком,"Вы задействовали Два в одном. Нажмите, если хотите отменить.",,60
boosters.pastry_bag.hints.level_start.not_available,Окно старта уровня (Канвас Хинт),При наведении на область бустера который можно купить,Купите Сладкий крем прямо сейчас!,,33
boosters.pastry_bag.hints.level_start.available,Окно старта уровня (Канвас Хинт),При наведении на область бустера который ранее приобретен.,"У Вас есть Сладкий крем. Нажмите, чтобы использовать сейчас.",,60
boosters.pastry_bag.hints.level_start.in_use,Окно старта уровня (Канвас Хинт),При наведении на область бустера который активирован игроком,"Вы задействовали Сладкий крем. Нажмите, если хотите отменить.",,61
boosters.extra_time.hints.level_start.not_available,Окно старта уровня (Канвас Хинт),При наведении на область бустера который можно купить,Купите Таймер прямо сейчас!,,27
boosters.extra_time.hints.level_start.available,Окно старта уровня (Канвас Хинт),При наведении на область бустера который ранее приобретен.,"У Вас есть Таймер. Нажмите, чтобы использовать сейчас.",,54
boosters.extra_time.hints.level_start.in_use,Окно старта уровня (Канвас Хинт),При наведении на область бустера который активирован игроком,"Вы задействовали Таймер. Нажмите, если хотите отменить.",,55
boosters.confectionery_blade.hints.level_start.not_available,Окно старта уровня (Канвас Хинт),При наведении на область бустера который можно купить,Купите Лопатку прямо сейчас!,,28
boosters.confectionery_blade.hints.level_start.available,Окно старта уровня (Канвас Хинт),При наведении на область бустера который ранее приобретен.,"У Вас есть Лопатка. Нажмите, чтобы использовать сейчас.",,55
boosters.confectionery_blade.hints.level_start.in_use,Окно старта уровня (Канвас Хинт),При наведении на область бустера который активирован игроком,"Вы задействовали Лопатку. Нажмите, если хотите отменить.",,56
client.interface.start_level.popups.booster.prohibited,Окно старта уровня (Канвас Хинт),При наведении на бустер закрытый замочком,Невозможно использовать на этом уровне!,,39
client.interface.start_level.popups.top.send_life,Окно старта уровня (Канвас Хинт),При наведении на иконку сердечка с конвертом возле аватарки друга,Отправьте %name бесплатную жизнь!,,33
client.interface.start_level.popups.top.already_send_life,Окно старта уровня (Канвас Хинт),При наведении на иконку сердечка с галочкой возле аватарки друга,Вы уже отправили %name бесплатную жизнь.,,40
client.interface.level.moves,Основной игровой интерфейс,Количество ходов оставшихся у игрока,Ходы,Moves,4
client.interface.level.time,Основной игровой интерфейс,Количество времени оставшегося у игрока,Время,Time,5
client.interface.level.score,Основной игровой интерфейс,Количество очков набранных игроком ,Очки,Level score,4
client.interface.level.combo_animation.step_1,Основной игровой интерфейс,Произведя 3 и более комбинаций подряд игроку показываются фразы (первая),Комбо,Combo,5
client.interface.level.combo_animation.step_2,Основной игровой интерфейс,Произведя 3 и более комбинаций подряд игроку показываются фразы (вторая),Хорошо,Great,6
client.interface.level.combo_animation.step_3,Основной игровой интерфейс,Произведя 3 и более комбинаций подряд игроку показываются фразы (третья),Отлично,Wonderfull,7
client.interface.level.combo_animation.step_4,Основной игровой интерфейс,Произведя 3 и более комбинаций подряд игроку показываются фразы (четвёртая),Прекрасно,Delicious,9
client.interface.level.combo_animation.step_5,Основной игровой интерфейс,Произведя 3 и более комбинаций подряд игроку показываются фразы (пятая),Идеально,Perfect,8
client.interface.level.popups.friend_avatar,Основной игровой интерфейс (Канвас Хинт),При наведении на иконку друга на шкале очков игрового поля,"%name, %num очков",,17
client.interface.level.popups.one_star,Основной игровой интерфейс (Канвас Хинт),При наведении на 1 звезду на шкале очков игрового поля,"Наберите %num очков, чтобы получить одну звезду.",,48
client.interface.level.popups.two_star,Основной игровой интерфейс (Канвас Хинт),При наведении на 2 звезду на шкале очков игрового поля,"Наберите %num очков, чтобы получить две звезды.",,47
client.interface.level.popups.three_star,Основной игровой интерфейс (Канвас Хинт),При наведении на 3 звезду на шкале очков игрового поля,"Наберите %num очков, чтобы получить три звезды.",,47
client.interface.level.popups.moves,Основной игровой интерфейс (Канвас Хинт),"При наведении на область ""Ходы""","Составление комбинации требует хода. Игра заканчивается, когда больше не остается ходов.",,88
client.interface.level.popups.time,Основной игровой интерфейс (Канвас Хинт),"При наведении на область ""Время""","Составление комбинации требует времени. Игра заканчивается, когда больше не остается времени.",,93
client.interface.level.popups.score,Основной игровой интерфейс (Канвас Хинт),"При наведении на область ""Очки""","Наберите %num очков минимум, чтобы пройти уровень.",,50
level_types.get_colors.short_desc,Основной игровой интерфейс (Канвас Хинт),"При наведении на область ""Цель""(сбор)",Соберите фишки требуемого цвета или указанные комбинации!,,57
level_types.get_ingredients.short_desc,Основной игровой интерфейс (Канвас Хинт),"При наведении на область ""Цель""(Ингридиенты)",Соберите Ингредиенты!,,21
level_types.boss_level.short_desc,Основной игровой интерфейс (Канвас Хинт),"При наведении на область ""Цель""(Босс)","Соберите фишки требуемого цвета, пока повар не засыпал помехами все игровое поле!",,81
level_types.toys.short_desc,Основной игровой интерфейс (Канвас Хинт),"При наведении на область ""Цель""(Игрушки)",Уберите помехи и освободите игрушки!,,36
level_types.clearbacks.short_desc,Основной игровой интерфейс (Канвас Хинт),"При наведении на область ""Цель""(Зайчики)",Освободите всех шоколадных зайчиков!,,36
level_types.moves_limit.short_desc,Основной игровой интерфейс (Канвас Хинт),"При наведении на область ""Цель""(Ходы)","Наберите очки, чтобы пройти уровень!",,36
level_types.time_limit.short_desc,Основной игровой интерфейс (Канвас Хинт),"При наведении на область ""Цель""(Время)","Наберите очки, чтобы пройти уровень!",,36
boosters.pastry_tongs.hints.level.not_available,Основной игровой интерфейс (Канвас Хинт),При наведении на область бустера который можно купить,Уничтожьте фишку! Купите Щипцы!,,31
boosters.pastry_tongs.hints.level.available,Основной игровой интерфейс (Канвас Хинт),При наведении на область бустера который ранее приобретен,Уничтожьте фишку! Используйте Щипцы!,,36
boosters.change_cakes_places.hints.level.not_available,Основной игровой интерфейс (Канвас Хинт),При наведении на область бустера который можно купить,Поменяйте фишки местами. Купите Обмен!,,38
boosters.change_cakes_places.hints.level.available,Основной игровой интерфейс (Канвас Хинт),При наведении на область бустера который ранее приобретен,Поменяйте фишки местами. Используйте Обмен!,,43
boosters.reverse_move.hints.level.not_available,Основной игровой интерфейс (Канвас Хинт),При наведении на область бустера который можно купить,Купите Отмену хода прямо сейчас!,,32
boosters.reverse_move.hints.level.available,Основной игровой интерфейс (Канвас Хинт),При наведении на область бустера который ранее приобретен,Используйте Отмену хода прямо сейчас!,,37
boosters.cafetiere.hints.level.not_available,Основной игровой интерфейс (Канвас Хинт),При наведении на область бустера который можно купить,Уничтожьте все помехи! Купите Горячий кофе!,,43
boosters.cafetiere.hints.level.available,Основной игровой интерфейс (Канвас Хинт),При наведении на область бустера который ранее приобретен,Уничтожьте все помехи! Используйте Горячий кофе!,,48
boosters.boss_protection.hints.level.not_available,Основной игровой интерфейс (Канвас Хинт),При наведении на область бустера который можно купить,Заблокируйте действия Корпорации. Купите Блок!,,46
